cluster,cpufreq,ddrfreq,w1,w2,w3,bias
1,710400,1017,0.001179414,0.04434596,0,1133.534122
1,710400,1353,0.001184876,0.037928952,0,900.3881189
1,710400,1555,0.001160904,0.039110135,0,-50.89340037
1,710400,1804,0.001266803,0.025020774,0,705.3470671
1,710400,2092,0.001348874,0.019894597,0,390.0181205
1,825600,1017,0.001103859,0.040098681,0,933.1800726
1,825600,1353,0.001030982,0.038545682,0,565.7993503
1,825600,1555,0.001042608,0.035125032,0,0.67731478
1,825600,1804,0.001157237,0.021865088,0,581.686829
1,825600,2092,0.000893247,0.034712419,0,641.0463704
1,940800,1017,0.000912751,0.044151933,0,582.4238007
1,940800,1353,0.000922872,0.034431775,0,758.0797441
1,940800,1555,0.000906863,0.032289185,0,365.5073141
1,940800,1804,0.000924856,0.025030212,0,757.1292727
1,940800,2092,0.000996247,0.013255626,0,1923.737802
1,1056000,1017,0.00085415,0.039337252,0,847.4604853
1,1056000,1353,0.000741659,0.037303715,0,1053.898652
1,1056000,1555,0.000695093,0.015325377,0.016052845,70.4348191
1,1056000,1804,0.000830318,0.022760607,0,1040.520361
1,1056000,2092,0.000698844,0.004165399,0.01821115,9.326027739
1,1171200,1017,0.000802306,0.037501015,0,833.6462902
1,1171200,1353,0.000694504,0.035637861,0,1000.824127
1,1171200,1555,0.000657409,0.01433811,0.014985216,101.5048325
1,1171200,1804,0.000801641,0.019783273,0,980.6918178
1,1171200,2092,0.000800765,0.016366713,0,1452.036698
1,1286400,1017,0.00054301,0.026186783,0.01587927,24.58396766
1,1286400,1353,0.000530199,0.020632003,0.015039547,50.77539754
1,1286400,1555,0.000595861,0.014506007,0.013373195,409.2691399
1,1286400,1804,0.000549492,0.01078461,0.013691691,347.7034322
1,1286400,2092,0.000479542,0.0144098,0.012993972,418.01445
1,1401600,1017,0.00049019,0.026450998,0.014815987,139.6066934
1,1401600,1353,0.000486864,0.021181069,0.013661412,167.8172952
1,1401600,1555,0.000538106,0.015007885,0.012337609,606.8206906
1,1401600,1804,0.000499671,0.011258009,0.012575941,489.1190329
1,1401600,2092,0.000449134,0.012958497,0.012204187,645.5803092
1,1497600,1017,0.000480646,0.026303283,0.013652506,185.523196
1,1497600,1353,0.00044907,0.020443629,0.013153411,384.1598078
1,1497600,1555,0.000490361,0.016045279,0.011225387,772.6047296
1,1497600,1804,0.000466613,0.011161084,0.011589943,716.5544489
1,1497600,2092,0.000403007,0.013537383,0.011659128,754.6986251
1,1612800,1017,0.000465829,0.02447821,0.0132105,291.7965695
1,1612800,1353,0.000421493,0.019968089,0.012150882,583.6448033
1,1612800,1555,0.000466637,0.015366361,0.010721104,826.3545079
1,1612800,1804,0.000409175,0.012310256,0.010750882,898.8569324
1,1612800,2092,0.000360521,0.013251993,0.011135295,957.2047004
1,1708800,1017,0.000446064,0.023345149,0.013139429,258.5040574
1,1708800,1353,0.000366395,0.021845067,0.011690724,622.0008881
1,1708800,1555,0.000440136,0.014984019,0.010542122,897.8648422
1,1708800,1804,0.000403311,0.011023968,0.010787361,847.0651937
1,1708800,2092,0.000347988,0.012140117,0.0112696,915.5136149
1,1804800,1017,0.000448835,0.024475263,0.011629445,323.8851624
1,1804800,1353,0.000414064,0.017959895,0.011327119,656.6562075
1,1804800,1555,0.000431401,0.014708971,0.010074184,869.1575734
1,1804800,1804,0.000387171,0.011110361,0.01021969,860.1747556
1,1804800,2092,0.000325208,0.011607247,0.011388194,923.5156125
1,1920000,1017,0.000428659,0.024535442,0.011269478,346.7974898
1,1920000,1353,0.000384624,0.020439492,0.009936509,562.0412456
1,1920000,1555,0.000411971,0.014102247,0.010164641,856.9113402
1,1920000,1804,0.000354579,0.012579324,0.009505417,799.6175398
1,1920000,2092,0.000332455,0.008817885,0.010948311,1139.482062
1,2016000,1017,0.00037892,0.027579221,0.010331677,376.8444466
1,2016000,1353,0.000381079,0.01939934,0.010078253,516.1401238
1,2016000,1555,0.000387278,0.015452391,0.009254678,891.4163463
1,2016000,1804,0.000327151,0.013305402,0.009081512,861.1829302
1,2016000,2092,0.000349294,0.011269772,0.009839735,779.5157365
1,2131200,1017,0.000401547,0.024698027,0.010410431,348.8064083
1,2131200,1353,0.000333796,0.020879549,0.009707766,583.6586721
1,2131200,1555,0.000363566,0.015551211,0.009230986,834.8588313
1,2131200,1804,0.00033716,0.011194667,0.009270327,826.9593164
1,2131200,2092,0.000343945,0.010216812,0.009766982,798.8151288
1,2227200,1017,0.000365441,0.025371949,0.010421656,394.1754749
1,2227200,1353,0.000344175,0.020340648,0.009016858,611.0014568
1,2227200,1555,0.000344574,0.015404849,0.009489199,798.9462805
1,2227200,1804,0.000340669,0.010255164,0.009263301,759.3896489
1,2227200,2092,0.000344388,0.01008311,0.009303454,750.0029923
1,2323200,1017,0.000371898,0.025357052,0.009893817,343.7781299
1,2323200,1353,0.000319447,0.021178457,0.008922906,559.7075809
1,2323200,1555,0.000338305,0.014611429,0.009875556,720.4489151
1,2323200,1804,0.000313785,0.01136022,0.009032547,673.2532276
1,2323200,2092,0.000301275,0.011579654,0.009163622,764.1912447
1,2419200,1017,0.000364076,0.025823248,0.009093761,414.4534384
1,2419200,1353,0.000327664,0.020206438,0.008746991,512.4493054
1,2419200,1555,0.00033658,0.014988501,0.008642058,841.4506546
1,2419200,1804,0.000315005,0.010083056,0.008550178,823.2281579
1,2419200,2092,0.000309343,0.010387845,0.008827997,808.1738083
